515,266,184,145,118,109,96,188
51,28,22,19,19,20,19,18
397,203,149,124,98,97,76,133
208,106,75,60,58,50,44,64
211,106,75,61,58,46,43,65
200,106,73,58,52,46,42,56
431,204,149,123,97,109,79,114
216,107,75,64,57,50,46,75
206,100,74,59,52,46,41,67
397,204,149,123,97,110,74,114
215,106,75,64,52,50,44,63
414,226,150,131,102,94,85,103
780,415,300,242,185,187,132,222
764,378,258,196,186,160,124,234
288,137,100,77,67,59,62,83
318,158,116,99,77,64,62,129
626,319,230,166,146,145,108,162
288,140,99,77,74,60,62,87
314,163,115,87,85,66,65,89
622,319,223,167,147,125,108,164
289,141,100,77,69,63,62,231
313,163,116,87,86,73,63,85
622,319,221,167,146,125,106,176
287,137,103,76,76,58,63,89
603,299,208,159,130,114,118,184
817,419,306,219,189,161,137,205
831,424,294,225,185,176,139,213
270,126,94,79,69,52,53,67
303,157,109,85,80,63,64,78
551,305,234,161,149,125,112,192
277,127,106,78,61,52,60,75
302,155,106,84,69,61,59,87
552,305,232,160,148,130,114,166
270,127,94,73,69,53,57,74
302,154,107,83,72,69,62,86
552,305,233,175,148,130,112,166
270,127,93,73,69,56,57,74
302,156,111,84,71,61,59,81
555,281,245,175,148,125,110,165
277,127,93,73,62,58,59,86
300,156,107,90,73,66,62,83
551,307,231,161,148,125,111,167
270,127,93,73,63,56,55,76
604,309,215,166,138,119,115,153
892,450,309,224,193,163,136,393
908,530,398,303,265,215,184,195
362,180,123,98,87,69,64,92
315,161,124,87,88,68,72,56
554,283,214,169,170,148,132,157
371,181,124,96,81,72,63,91
315,162,121,84,88,69,74,83
554,284,214,148,160,149,133,158
374,181,124,97,82,69,63,92
