33,20,17,14,16,15,15
13,10,10,9,11,11,13
37,21,22,15,16,17,19
40,23,19,17,19,17,19
186,95,71,53,54,42,37
30,19,15,14,16,16,16
10,8,9,8,10,11,12
25,16,16,13,13,15,17
35,20,18,16,16,18,17
110,58,53,41,35,35,30
70,37,29,24,23,21,21
20,13,12,11,13,12,14
98,52,46,37,30,34,37
78,42,33,27,25,23,23
431,221,156,119,105,90,81
37,21,18,16,16,15,17
19,13,11,11,12,14,16
49,30,24,20,20,21,18
79,42,31,27,29,28,22
369,190,140,115,109,90,63
37,21,18,16,16,15,17
15,13,12,10,11,12,13
48,26,20,18,17,18,18
76,41,32,28,24,25,23
315,163,134,88,88,94,76
37,21,18,16,16,15,16
15,11,10,10,11,12,13
42,24,22,18,17,19,18
76,40,32,25,24,24,22
248,126,108,69,70,63,55
33,19,16,16,15,15,16
11,9,8,9,10,11,12
22,16,13,12,13,13,15
44,25,20,19,17,19,17
212,107,76,62,54,46,41
80,44,29,28,25,23,20
42,22,19,16,16,15,17
223,130,99,69,89,88,68
154,80,57,46,48,46,30
717,484,326,250,207,174,166
31,18,16,14,15,14,16
19,12,11,11,12,13,13
54,35,24,26,22,20,20
70,38,28,26,27,24,19
418,214,170,114,120,94,81
512,265,184,144,120,110,115
57,29,23,20,19,21,18
1220,652,440,368,305,249,197
60,32,25,21,21,19,19
151,80,57,45,47,35,32
89,47,38,30,28,25,24
87,47,36,29,27,24,25
76,47,36,29,24,25,23
75,40,32,26,24,23,21
135,74,51,40,37,35,31
56,31,25,20,20,19,19
76,41,32,26,24,23,22
